customerID,Churn,Snapshot_Date
7590-VHVEG,No,2024-07-01
5575-GNVDE,No,2024-07-01
7795-CFOCW,No,2024-07-01
1452-KIOVK,No,2024-07-01
6713-OKOMC,No,2024-07-01
6388-TABGU,No,2024-07-01
9763-GRSKD,No,2024-07-01
7469-LKBCI,No,2024-07-01
8091-TTVAX,Yes,2024-07-01
5129-JLPIS,No,2024-07-01
3655-SNQYZ,No,2024-07-01
8191-XWSZG,No,2024-07-01
9959-WOFKT,No,2024-07-01
4183-MYFRB,No,2024-07-01
1680-VDCWW,No,2024-07-01
3638-WEABW,No,2024-07-01
6322-HRPFA,No,2024-07-01
6865-JZNKO,No,2024-07-01
5248-YGIJN,No,2024-07-01
3841-NFECX,No,2024-07-01
4929-XIHVW,No,2024-07-01
6827-IEAUQ,No,2024-07-01
7310-EGVHZ,No,2024-07-01
3413-BMNZE,Yes,2024-07-01
6234-RAAPL,No,2024-07-01
6572-ADKRS,No,2024-07-01
8865-TNMNX,No,2024-07-01
9489-DEDVP,No,2024-07-01
9867-JCZSP,No,2024-07-01
4671-VJLCL,No,2024-07-01
4080-IIARD,No,2024-07-01
3714-NTNFO,No,2024-07-01
5948-UJZLF,No,2024-07-01
7639-LIAYI,Yes,2024-07-01
2954-PIBKO,No,2024-07-01
8012-SOUDQ,No,2024-07-01
6575-SUVOI,No,2024-07-01
4667-QONEA,No,2024-07-01
8769-KKTPH,No,2024-07-01
5067-XJQFU,No,2024-07-01
3957-SQXML,No,2024-07-01
5954-BDFSG,No,2024-07-01
0434-CSFON,No,2024-07-01
1215-FIGMP,No,2024-07-01
0526-SXDJP,No,2024-07-01
0557-ASKVU,No,2024-07-01
5122-CYFXA,No,2024-07-01
8627-ZYGSZ,No,2024-07-01
3410-YOQBQ,No,2024-07-01
3170-NMYVV,No,2024-07-01
7410-OIEDU,No,2024-07-01
2273-QCKXA,No,2024-07-01
0731-EBJQB,No,2024-07-01
1891-QRQSA,No,2024-07-01
8028-PNXHQ,No,2024-07-01
5630-AHZIL,No,2024-07-01
2673-CXQEU,No,2024-07-01
6416-JNVRK,No,2024-07-01
5590-ZSKRV,No,2024-07-01
0191-ZHSKZ,No,2024-07-01
3887-PBQAO,No,2024-07-01
8108-UXRQN,No,2024-07-01
9919-YLNNG,No,2024-07-01
0318-ZOPWS,No,2024-07-01
4445-ZJNMU,No,2024-07-01
4808-YNLEU,No,2024-07-01
1862-QRWPE,No,2024-07-01
2796-NNUFI,No,2024-07-01
3016-KSVCP,No,2024-07-01
4767-HZZHQ,No,2024-07-01
2424-WVHPL,No,2024-07-01
7233-PAHHL,No,2024-07-01
6067-NGCEU,No,2024-07-01
9848-JQJTX,No,2024-07-01
9803-FTJCG,No,2024-07-01
3212-KXOCR,No,2024-07-01
6380-ARCEH,No,2024-07-01
3679-XASPY,No,2024-07-01
7123-WQUHX,No,2024-07-01
5386-THSLQ,Yes,2024-07-01
6180-YBIQI,No,2024-07-01
6728-DKUCO,No,2024-07-01
9750-BOOHV,No,2024-07-01
8597-CWYHH,No,2024-07-01
2848-YXSMW,No,2024-07-01
